"Access denied.","Acesso Negado."
"Can not find webservice adapter.","Não é possível localizar o adaptador de serviço Web."
"Client Session Timeout (sec.)","Tempo de Sessão do Cliente (seg.)"
"Default Response Charset","Padrão de Impressão Charset"
Email,Email
"Enable WSDL Cache","Habilitar Cache de WSDL"
"General Settings","Opções Gerais"
"Invalid webservice adapter specified.","Adaptador webservice informado é inválido."
"Invalid webservice handler specified.","Manual webservice informado é inválido."
"Magento Core API","Magento API Core"
"Magento Core API Section","Magento Seção API Core"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - funções"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - usuários"
"Unable to login.","Não foi possível acessar a conta."
"User Name","Nome de Usuário"
"WS-I Compliance","WS-I Conformidade"
"Web Services","Web Services"
"Your account has been deactivated.","Sua conta foi desativada."
