%s,%s
"ACL Attribute Rules","Regras de atributo ACL"
"ACL Attributes Information","Informações de atributos ACL"
Add,Adicionar
"Add Admin Role","Adicionar função de Admin"
"Add New Role","Adicionar novo papel"
"Address Type","Tipo de endereço"
Admin,Admin
Allow,Permitir
"An error occurred while deleting the role.","Ocorreu um erro ao excluir a função."
"An error occurred while saving attribute rules.","Ocorreu um erro ao salvar regras de atributo."
"An error occurred while saving role.","Ocorreu um erro ao salvar a função."
"Api Rules Information","Informações sobre as regras de API"
Assigned,Atribuído
"Associate to Website","Associar ao Website"
"Attribute Rules Information","Informações de atributo de regras"
"Attribute Set","Grupo de Atributos"
Attributes,Atributos
"Automatically Return Credit Memo Item to Stock","Retornar Automaticamente Item de Reembolso para o Estoque"
Back,Voltar
Backorders,"Pedidos que Voltaram"
"Base Currency","Moeda Base"
"Base Customer Balance","Saldo de cliente base"
"Base Discount","Desconto base"
"Base Discount Amount","Valor do desconto de base"
"Base Item Subtotal","Base Item Subtotal"
"Base Item Subtotal Including Tax","Base Subtotal de Item, incluindo o"
"Base Original Price","Preço base Original"
"Base Price","Preço base"
"Base Price Including Tax","Preço base, incluindo a taxa de"
"Base Shipping","Envio de base"
"Base Shipping Discount","Base de desconto de envio"
"Base Shipping Tax","Base fiscal de envio"
"Base Subtotal","Base Subtotal"
"Base Subtotal Including Tax","Subtotal base incluindo a taxa de"
"Base Tax Amount","Valor base de imposto"
"Base Total Due","Base vencimento Total"
"Base Total Paid","Base Total pago"
"Base Total Refunded","Base Total restituído"
"Buy Now URL","Comprar agora URL"
"Can Be Divided into Multiple Boxes for Shipping","Pode ser dividido em várias caixas para transporte"
"Canceled Qty","Quant cancelada"
Catalog,Catálogo
"Catalog Product","Produto de catálogo"
CatalogInventory,CatalogInventory
"Category ID","ID da categoria"
City,Cidade
Company,Empresa
Country,País
"Coupon Code","Código de cupom"
Create,Criar
"Create Permanent Redirect for old URL","Criar Redirecionamento Permanente para a antiga URL"
"Created From","Criado a partir de"
Customer,Cliente
"Customer Address","Endereço do cliente"
"Customer Address ID","ID de endereço de cliente"
"Customer Balance","Saldo do cliente"
"Customer First Name","Nome do cliente"
"Customer ID","ID do Cliente"
"Customer Last Name","Sobrenome do cliente"
"Customer Middle Name","Nome do meio de cliente"
"Customer Prefix","Prefixo de cliente"
"Customer Suffix","Sufixo de cliente"
"Default Image","Imagem padrão"
Delete,Excluir
Deny,Negar
"Disable automatic group change based on VAT ID","Desabilite esse grupo automática com base no VAT ID"
Discount,Desconto
"Discount Amount","Valor do desconto"
"Discount Description","Descrição do disconto"
Edit,Editar
"Edit %s ACL attribute rules","Editar %s regras de atributo ACL"
"Edit Role","Editar função"
"Edit attribute rules for %s Role","Editar atributo regras para %s papel"
Email,Email
"Enable Qty Increments","Habilitar Quantidade Incrementos"
Exclude,Retirar
"File Content","Arquivo de conteúdo"
"File MIME Type","Tipo de MIME do arquivo"
"File Name","Nome do arquivo"
"Final Price With Tax","Preço final com impostos"
"Final Price Without Tax","Preço final sem impostos"
"First Name",Nome
"Gift Message","Mensagem Presente"
"Grand Total","Geral Total"
"Grand Total to Be Charged","Grand Total a cobrar"
Group,Grupo
Guest,Visitante
"Has Custom Options","Tem opções personalizadas"
ID,ID
"Inventory Data","Dados de inventário"
"Invoiced Qty","Facturado Quant"
"Is Confirmed",Confirma-se
"Is Default Billing Address","É o endereço de cobrança padrão"
"Is Default Shipping Address","É endereço de entrega padrão"
"Item ID","ID do item"
"Item Subtotal","Subtotal do item"
"Item Subtotal Including Tax","Item Subtotal incluindo impostos"
Label,Descrição
"Last Logged In","Último login"
"Last Name",Sobrenome
"Low Stock Date","Data de estoque baixo"
"Manage Stock","Gerenciar Estoque"
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho de Compras"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho de Compras"
"New Role","Nova função"
"Notify for Quantity Below","Avisar sobre Quantidade Baixa"
OAuth,OAuth
Order,Pedido
"Order Addresses","Endereços de ordem"
"Order Comments","Comentários de ordem"
"Order Currency","Moeda de ordem"
"Order Date","Data do pedido"
"Order ID","ID do Pedido"
"Order ID (internal)","Ordem ID (interno)"
"Order Item ID","Ordem Item ID"
"Order Items","Itens do pedido"
"Order Status","Situação do Pedido"
"Ordered Qty","Quant ordenada"
Orders,Pedidos
"Original Price","Preço original"
"Parent Order Item ID","Ordem Item ID pai"
"Payment Method","Formas de pagamento"
"Phone Number","Número de telefone"
"Placed from IP","Colocados de IP"
"Please enter a valid number in ""max_sale_qty"" field","Introduza um número válido no campo de ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Introduza um número válido no campo de ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Introduza um número válido no campo de ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Introduza um número válido no campo de ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Por favor, use números apenas no campo ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Por favor, use números apenas no campo de ""qty_increments"". Por favor, evite espaços ou outros caracteres, como pontos ou vírgulas."
Position,Posição
Price,Preço
"Price Including Tax","Preço, incluindo impostos"
Product,Produto
"Product Category","Categoria de produto"
"Product ID","Product ID"
"Product Image","Imagem do produto"
"Product Type","Tipo de Produto"
"Product URL","URL do produto"
"Product Website","Site do produto"
"Product and Custom Options Name","Produto e nome de Opções personalizada"
Qty,Qtd
"Qty Increments","Qtd Incrementos"
"Qty Uses Decimals","Qtd Uso Decimais"
"Qty for Item's Status to Become Out of Stock","Quant para Status do Item tornar-se fora de estoque"
"REST - Attributes","DESCANSO - atributos"
"REST - Roles","DESCANSO - funções"
"REST ACL Attributes","Atributos ACL do resto"
"REST Attributes","Atributos de descanso"
"REST Role","Função resto"
"REST Roles","Funções de descanso"
"REST Roles Information","Informações de funções do resto"
Read,Leitura
"Refunded Qty","Reembolsados Quant"
"Regular Price With Tax","Preço normal com imposto"
"Regular Price Without Tax","Preço normal sem imposto"
"Rest Roles","Funções de descanso"
Retrieve,Recuperar
"Role ""%s"" no longer exists","Função ""%s"" não existe mais"
"Role ""%s"" not found.","Função ""%s"" não encontrado."
"Role API Resources","Recursos de função API"
"Role Info","Informações do papel"
"Role Information","Informações de função"
"Role Name","Nome da função"
"Role Users","Usuários da função"
"Role has been deleted.","Função foi excluída."
Roles,Permissões
SKU,SKU
"Salability Status","Clarity Status"
Sales,Vendas
Save,Salvar
"Shipped Qty","Quant enviado"
"Shipping Amount","Valor da Entrega"
"Shipping Discount","Desconto de envio"
"Shipping Including Tax","Incluindo a taxa de envio"
"Shipping Method","Forma de Entrega"
"Shipping Tax","Taxa de envio"
State,Estado
"Stock Availability","Disponível em Estoque"
"Stock ID","ID do estoque"
"Stock Item","Item de estoque"
"Stock Status","Situação do Estoque"
"Store Currency to Order Currency Rate","Armazenar a moeda, a taxa de câmbio de ordem"
"Store Name","Nome da loja"
Street,Rua
Subtotal,Subtotal
"Subtotal Including Tax","Subtotal incluindo impostos"
System,Sistema
"Tax Amount","Valor da Taxa"
"Tax Name","Nome do fiscal"
"Tax Percent","Por cento de imposto"
"Tax Rate","Taxa Imposto"
"The ""enable_qty_increments"" field must be set to 0 or 1.","O campo ""enable_qty_increments"" deve ser definido como 0 ou 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","O campo ""is_decimal_divided"" deve ser definido como 0 ou 1."
"The ""is_in_stock"" field must be set to 0 or 1.","O campo ""is_in_stock"" deve ser definido como 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","O campo ""is_qty_decimal"" deve ser definido como 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","O campo ""is_qty_decimal"" deve ser definido para 0, 1 ou 2."
"The ""manage_stock"" field must be set to 0 or 1.","O campo ""manage_stock"" deve ser definido como 0 ou 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","O campo ""stock_status_changed_auto"" deve ser definido como 0 ou 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","O campo ""use_config_backorders"" deve ser definido como 0 ou 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","O campo ""use_config_enable_qty_inc"" deve ser definido como 0 ou 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","O campo ""use_config_manage_stock"" deve ser definido como 0 ou 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","O campo ""use_config_max_sale_qty"" deve ser definido como 0 ou 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","O campo ""use_config_min_qty"" deve ser definido como 0 ou 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","O campo ""use_config_min_sale_qty"" deve ser definido como 0 ou 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","O campo ""use_config_notify_stock_qty"" deve ser definido como 0 ou 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","O campo ""use_config_qty_increments"" deve ser definido como 0 ou 1."
"The attribute rules were saved.","As regras de atributos foram salvos."
"The role has been saved.","O papel foi salvo."
"The role is a special one and not for assigning it to admin users.","O papel é um especial de uma e não para atribuí-la aos usuários admin."
"Total Due","Total devido"
"Total Paid","Total pago"
"Total Refunded","Total restituído"
"Total Reviews Count","Contagem total de avaliações"
Type,Tipo
URL,URL
Update,Atualizar
"Use Config Settings for Allow Gift Message","Usar configurações de configuração para permitir que a mensagem de Dom"
