Action,Ações
"An error occurred while creating the backup.","Ocorreu um erro ao criar o backup."
"An error occurred while writing to the backup file ""%s"".","Ocorreu um erro enquanto gravava o arquivo de backup ""%s""."
"Are you sure you want to delete the selected backup(s)?","Tem a certeza de que deseja excluir o backup(s) selecionado?"
"Backup Type","Tipo de backup"
"Backup file ""%s"" cannot be read from or written to.","Arquivo de Backup ""%s"" não pode ser lido ou gravado."
"Backup file ""%s"" does not exist.","Arquivo de Backup ""%s"" não existe."
"Backup file does not exist.","Arquivo de Backup não existe."
"Backup file handler was unspecified.","Manipulador de Arquivo de Backup não especificado."
"Backup file not found","Arquivo de backup não foi encontrado"
"Backup file path was not specified.","Diretório do arquivo de Backup não especificado."
Backups,Backups
"Cannot read backup file.","Não foi possível ler o arquivo de backup."
"Create Backup","Criar Backup"
"Database Backup","Backup de banco de dados"
"Database and Media Backup","Banco de dados e Backup de mídia"
"Database was successfuly backed up.","Cópia de Segurança da Base de Dados feita com sucesso."
Download,Download
"Enable Scheduled Backup","Ativar Backup agendado"
"Failed to connect to FTP","Falha ao conectar ao FTP"
"Failed to delete one or several backups.","Falha ao excluir um ou vários backups."
"Failed to rollback","Falha ao reverter"
"Failed to validate FTP","Falha ao validar FTP"
Frequency,Frequência
"Invalid Password.","Senha inválida."
"Maintenance Mode","Modo de manutenção"
Name,Nome
"Not enough free space to create backup.","Não é suficiente espaço livre para criar cópia de segurança."
"Not enough permissions to create backup.","Não há permissões para criar cópia de segurança."
"Not enough permissions to perform rollback","Não há permissões para executar reversão"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Por favor, desmarque a caixa de seleção ""Loja de colocar o modo de manutenção"" ou atualizar suas permissões para prosseguir com a cópia de segurança."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Por favor, desmarque a caixa de seleção ""Loja de colocar o modo de manutenção"" ou atualizar suas permissões para prosseguir com a reversão."""
"Put store on the maintenance mode while backup's creation","Colocar loja sobre o modo de manutenção durante a criação da cópia de segurança"
Rollback,Reversão
"Scheduled Backup Settings","Configurações de Backup agendado"
"Size, Bytes","Tamanho em bytes"
"Start Time","Hora de Início"
"System Backup","Backup do sistema"
"System couldn't put store on the maintenance mode","Sistema não poderia colocar loja sobre o modo de manutenção"
"The database and media backup has been created.","O banco de dados e mídia de backup foi criado."
"The database backup has been created.","O backup de banco de dados foi criado."
"The file was compressed with Zlib, but this extension is not installed on server.","O arquivo foi compactado com Zlib, mas esta extensão não está instalada no servidor."
"The selected backup(s) has been deleted.","Backup(s) selecionado foi excluído."
"The system (excluding Media) backup has been created.","Foi criado o backup de sistema (excluindo o suporte)."
"The system backup has been created.","O backup de sistema foi criado."
Time,Data/Hora
Type,Tipo
"Unable to create backup. Please, try again later.","Não foi possível gerar um backup de dados. Por favor tente novamente."
"Unable to save the cron expression.","Não é possível salvar a expressão cron."
"Wrong order of creation for new backup.","Ordem errada na criação do novo backup."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Você não tem permissões suficientes para ativar o modo de manutenção durante a operação."
