"# of Use","# em Uso"
"%1$s incl tax.","%1$s incl taxa."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s e acima"
(%d),(%d)
"(Copy data from: %s)","(Dados copiados em: %s)"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --",Selecione...
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por padrão, se não informado. Para atualizar rapidamente, Limpe os caches de saída para blocos HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Atenção!</strong> Aplicando MAP por padrão vai esconder todos os preços do produto no frontend."
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"A name is required","Um nome é obrigatório"
"A product type is not defined for the indexer.","O tipo de produto não está definido no indexador."
"ALL GROUPS","TODOS OS GRUPOS"
AM,AM
Action,Ações
"Actual Price","Preço real"
Add,Adicionar
"Add Attribute","Adicionar Atributo"
"Add Design Change","Criar Tema"
"Add Group","Criar Grupo"
"Add Group Price","Adicionar preço de grupo"
"Add New","Criar Pasta"
"Add New Attribute","Criar Atributo"
"Add New Attribute Set","Novo Grupo de Atributos"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar Nova Linha"
"Add New Search Term","Criar Termo de Pesquisa"
"Add New Set","Criar Grupo"
"Add Product","Criar Produto"
"Add Product To Websites","Adicionar Produto para Websites"
"Add Root Category","Criar Categoria"
"Add Subcategory","Criar SubCategoria"
"Add Tax","Criar Imposto"
"Add Tier","Criar Faixa"
"Add attribute into attribute set","Adicionar o atributo para o conjunto de atributos"
"Add group into attribute set","Adicionar o grupo em conjunto de atributos"
"Add new custom option into product","Adicionar nova opção personalizada no produto"
"Add new values into custom option","Adicionar novos valores na opção personalizada"
"Add option","Adicionar opção"
"Add to Cart",Comprar
"Add to Compare","Comparar Produto"
"Add to Wishlist","Adicionar aos Favoritos"
"Additional Information","Informação Adicional"
"Alert Urls","Alertas Urls"
All,Todos
"All Product Types","Todos os Tipos de Produtos"
"All Websites","Todos Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos selecionados serão excluídos! Deseja realmente excluir este atributo?"
"Allow All Products per Page","Permitir Exibir Todos os Produtos na Página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URL Mídia Dinâmica nos Produtos e Categorias"
"Allow HTML Tags on Frontend","Permitir tags HTML no texto"
"Allowed File Extensions","Extensões de Arquivos Permitidos"
"Allowed file extensions to upload","Extensões de arquivos permitidos para upload"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar produtos para websites."
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar a lista de comparações."
"An error occurred while deleting this review.","Ocorreu um erro ao eliminar este review."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover produtos do websites."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao salvar o reescrever URL"
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao salvar a coleção, a abortar. Mensagem de erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao salvar o produto. "
"An error occurred while saving the search query.","Ocorreu um erro ao salvar termos de pesquisa."
"An error occurred while saving this group.","Ocorreu um erro ao salvar este grupo."
"An error occurred while saving this review.","Ocorreu um erro ao salvar este review."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar excluir a categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar os atributos dos produtos."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar os status dos produtos."
"An invalid group ID is specified, skipping the record.","Um ID de grupo inválido foi informado, ignorando registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválida foi informada para %s (%s), ignorando registro."
"An invalid store was specified.","Uma loja inválida foi informada."
"Anchor Custom Text","Vincular a Texto Personalizado"
"Anchor Custom Title","Vincular a Título Personalizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicáveis aos produtos de catálogo e somente as categorias. Qualquer conteúdo de mídia será inserido no editor como um URL estático. Ele não é atualizado, se o sistema de configuração URL mudar."
"Apply MAP (Default Value)","Aplicar MAP (Valor padrão)"
"Apply To","Aplicar Para"
Approved,Aprovado
"Are you sure you want to delete this category?","Tem certeza que deseja excluir esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Tem certeza que deseja excluir todos os produtos da sua lista de comparação?"
"Are you sure you would like to remove this item from the compare products?","Tem certeza que deseja excluir o produto da sua lista de comparação?"
"Are you sure?","Você tem certeza?"
"As low as:","Menor Preço:"
Assign,Atribuir
"Assign product link","Atribuir link ao produto"
"Assign product to category","Atribuir categoria ao produto"
"Assigned Products","Produtos Atribuídos"
"Associated Products","Associar Produtos"
"Attrib. Set Name","Atrib. Nome"
"Attribute ""%s"" is invalid.","Atributo ""%s"" eh invalido."
"Attribute ""%s"" is required.","Atributo ""%s"" é obrigatório."
"Attribute Information","Informações do Atributo"
"Attribute Model","Modelo de Atributo"
"Attribute Name:","Nome do Atributo:"
"Attribute Set","Grupo de Atributos"
"Attribute Sets","Conjuntos de atributo"
"Attribute add","Adicionar atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Atributo código é inválido. Por favor, use apenas letras (a-z), números (0-9) ou underscore(_) neste campo, o primeiro caractere deve ser uma letra."
"Attribute group with the \"/name/\" name already exists","Atributo de grupo com o \"/nome/\" nome já existe"
"Attribute remove","Remover atributo"
"Attribute with the same code already exists","Já existe um atributo com este código"
Attributes,Atributos
"Attrribute names can be specified per store.","Nomes de atributos podem ser específicos por loja."
Autogenerate,Automático
Availability:,Disponível:
Back,Voltar
"Backend Model","Voltar Modelo"
"Backend Table","Voltar Tabela"
"Backend Table Title","Voltar Título da Tabela"
Backorders,"Pedidos que Voltaram"
"Based On","Com Base Em"
"Before Order Confirmation","Antes de Confirmação de Ordem"
"Best Value","Melhor Valor"
"Block after Info Column","Bloco depois da Coluna de Informação"
"Bottom Block Options Wrapper","Bloco Abaixo Opção de Empacotamento"
Bottom/Left,Abaixo/Esquerda
Bottom/Right,Abaixo/Direita
"Browse By","Navegar Por"
"Bundle Items","Itens do Pacote"
"Buy %1$s","Compre% 1 $ s"
"Buy %1$s for","Compre% 1 $ s para"
"Buy %1$s for %2$s","Compre %1$s leve %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Leve %1$s por %2$s (%3$s incl. imposto) cada"
"Buy %1$s for %2$s each","Leve %1$s por %2$s cada"
"Cache Lifetime (Seconds)","Ciclo de vida do Cache (Segundos)"
"Cache refresh needed.","Cache precisa ser atualizado."
"Can be Divided into Multiple Boxes for Shipping","Pode ser dividido em várias caixas para transporte"
"Can be used only with catalog input type Dropdown","Pode ser usado apenas com catálogo tipo de input Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Funciona apenas para campos do tipo Combobox, Seleção Múltipla e Preços"
"Can\'t create image.","Não foi possível criar a imagem."
Cancel,Cancelar
"Cannot create image.","Não foi possível criar a imagem."
"Cannot create writeable directory '%s'.","Não foi possível criar um diretório com permissões de gravação '%s'."
"Cart Item Attribute","Atributo do Item do Carrinho"
Catalog,Catálogo
"Catalog Category (Anchor)","Catálogo Categoria (Vínculo)"
"Catalog Category (Non-Anchor)","Catálogo Categoria (Sem-Vínculo)"
"Catalog Category (Without Subcategories)","Catálogo Categoria (Sem Subcategorias)"
"Catalog Category Link",Categoria
"Catalog New Products List","Novos Produtos"
"Catalog Price Scope","Catálogo Preço Escopo"
"Catalog Product Compare List","Catálogo Produto Comparar Lista"
"Catalog Product Email to a Friend","Catálogo Produto Avisar um Amigo"
"Catalog Product Image Gallery Popup","Catálogo Produto Galeria de Imagens Popup"
"Catalog Product Link",Produto
"Catalog Product View (Any)","Catálogo Produto Visualizar (Qualquer)"
"Catalog Product View (Configurable)","Catálogo Produto Visualizar (Configurável)"
"Catalog Product View (Grouped)","Catálogo Produto Visualizar (Agrupado)"
"Catalog Product View (Simple)","Catálogo Produto Visualizar (Simples)"
"Catalog Product View (Virtual)","Catálogo Produto Visualizar (Virtual)"
"Catalog Section","Seção Catálogo"
"Catalog Seo Sitemap (Category List)","Catálogo Seo Sitemap (Categoria Lista)"
"Catalog Seo Sitemap (Category Tree)","Catálogo Seo Sitemap (Categoria árvore)"
"Catalog Seo Sitemap (Common)","Catálogo Seo Sitemap (Normal)"
"Catalog Seo Sitemap (Product List)","Catálogo Seo Sitemap (Produto Lista)"
"Catalog URL Rewrites","Reescrita de Url"
"Catalog product custom option values API","Valores de opção personalizada de produto API do catálogo"
"Catalog product custom options API","Catálogo opções personalizadas do produto API"
"Catalog, Search","Catálogo, Busca"
Categories,Categorias
"Categories Sitemap","Sitemap de Categorias"
Category,Categoria
"Category API","API de Categoria"
"Category Data","Dados da Categoria"
"Category Flat Data","Categoria Unificada"
"Category Link Block Template","Categoria Link Bloco Modelo"
"Category Link Inline Template","Categoria Link Inline Modelo"
"Category Products",Produtos
"Category Top Navigation","Categoria Top Navegação"
"Category URL Suffix","Categoria Sufixo URL"
"Category attributes API","Categoria atributos API"
"Category move error","Categoria move erro"
"Category move operation is not possible: parent category is equal to child category.","Operação de mudança de categoria não é possível: categoria pai é igual a categoria infantil."
"Category move operation is not possible: the current category was not found.","Operação de mudança de categoria não é possível: a categoria atual não foi encontrado."
"Category move operation is not possible: the new parent category was not found.","Não foi possível mover a categoria: local de destino para categoria não foi encontrado."
"Category must be an instance of Mage_Catalog_Model_Category.","Categoria precisa ser uma instância de Mage_Catalog_Model_Category."
Center,Centro
Change,Alterar
"Change or Retrieve attribute store view","Alterar ou Recuperar atributos da visão"
"Change status","Alterar status"
"Check items to add to the cart or","Escolha os itens que deseja adicionar ao carrinho ou "
"Choose an Option...",Selecione...
"Clear All","Limpar Todos"
"Clear Price","Preço claro"
"Click for price","Clique para o preço"
"Close Window","Fechar Janela"
"Collapse All",Recolher
Comma-separated.,"Separado por vírgula."
Comparable,Comparável
"Comparable on Front-end","Pode ser Comparável"
"Comparable on the Frontend","Comparável no Frontend"
Compare,Comparar
"Compare Products","Comparar Produtos"
"Conditions Combination","Condições de Combinação"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Opções de Produtos Configuráveis"
"Configure Product","Configure Product"
Continue,Continuar
"Copy From Configurable","Copiar de Configurável"
Country/State,País/Estado
Create,Criar
"Create (Upload)","Criar (Upload)"
"Create Empty","Criar Vazio"
"Create Permanent Redirect for URLs if URL Key Changed","Criar um redirecionamento permanente para URLs se chave URL mudou"
"Create Permanent Redirect for old URL","Criar Redirecionamento Permanente para a antiga URL"
"Create Product Settings",Opções
"Create Simple Associated Product","Criar Produto de Simples Associação"
"Create attribute set based on another set","Criar o conjunto de atributos com base em outro conjunto"
"Create new attribute","Criar novo atributo"
"Create new category","Criar Categoria"
"Create new product","Criar Produto"
Cross-sells,"Venda Cruzada"
"Currently Shopping by:","Atualmente Comprando de:"
"Custom Design","Template Personalizado"
"Custom Options","Opções Personalizadas"
"Custom options","Opções personalizadas"
"Customer Group","Grupo do Cliente"
"Customers Reviews","Comentários de Clientes"
"Customers Tagged Product","Tags dos Clientes"
"Data Type for Saving in Database","Tipo de Dados para Salvar no Banco de Dados"
"Date & Time Custom Options","Data & Hora Opções Personalizadas"
"Date Fields Order","Data campos de ordem"
"Date Subscribed","Data da Assinatura"
Datetime,"Data e Hora"
Decimal,Decimal
"Declare attribute value saving scope","Informe o ambiente em que o atributo ficará disponível"
"Default ""What's This"" Text Message","Padrão ""que é isto"" Mensagem de Texto"
"Default Popup Text Message","Mensagem de texto padrão Popup"
"Default Price","Preço Padrão"
"Default Price Navigation Step","Preço Padrão Etapa Navegação"
"Default Qty","Quantidade Padrão"
"Default Values","Valores Padrão"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definir o escopo da moeda base (""Configuração de Moeda"" > ""Opção de Moeda"" > ""Moeda Base"")."
Delete,Excluir
"Delete Attribute","Excluir Atributo"
"Delete Attribute Set","Excluir Grupo de Atributos"
"Delete Category",Excluir
"Delete Group Price","Excluir grupo preço"
"Delete Option","Excluir Opção"
"Delete Row","Excluir Linha"
"Delete Search","Excluir Busca"
"Delete Selected Group","Excluir Pasta"
"Delete Tier","Excluir camada"
"Delete attribute","Excluir o atributo"
"Delete category","Excluir Categoria"
"Delete product","Excluir Produto"
"Depends on design theme","Depende do seu template"
Design,Template
Details,Detalhes
Disabled,Desabilitado
"Disallowed file type.","Tipo de arquivo desabilitado."
"Display Actual Price","Mostrar preço real"
"Display Price Interval as One Price","Intervalo de preço de exibição como um preço"
"Display Product Count","Contagem de produto exibir"
"Display in Suggested Terms","Exibir em Termos Sugeridos"
"Double click on a group to rename it","Duplo clique no grupo para renomear"
"Double click on above image to view full picture","Duplo clique para aumentar imagem"
"Downloadable Information","Informações de Download"
Duplicate,Duplicar
"Duplicate website group price customer group.","Duplica grupo de clientes do site grupo preço."
"Duplicate website tier price customer group and quantity.","Duplicar website faixa de preço cliente grupo e quantidade."
"Duplicate website, country and state tax found.","Duplicar website, país e estado impostos encontrados."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Analisar impacto de diretivas dinâmicas no desempenho do catálogo."
Edit,Editar
"Edit Attribute Set '%s'","Editar Grupo de Atributos '%s'"
"Edit Product Attribute","Editar Atributo"
"Edit Product Attribute ""%s""","Editar Atributo ""%s"""
"Edit Search","Editar Busca"
"Edit Search '%s'","Editar Busca '%s'"
"Edit Set Name","Editar Nome do Grupo"
Email,Email
"Email to a Friend","Avisar um Amigo"
Empty,Vazio
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar Quantidade Incrementos"
"Enable WYSIWYG","Permitir WYSIWYG"
Enabled,Habilitado
"Error during retrieval of option value: %s","Erro ao recuperar opções de valores: %s"
Exclude,Retirar
"Expand All",Expandir
Failed,Falhou
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Falha ao copiar o arquivo %s. Por favor, apague mídia com imagens não-existente e tente novamente."
"Failed to move file: %s","Falha ao mover arquivo: %s"
"Feature Products","Produtos Destaques"
"Field is not complete","Campos não está completo"
"File options format is not valid.","Opções de formato de arquivo não é válido."
"File upload failed","Arquivo de upload falhou"
"Filter model name must be declared.","Nome do modelo de filtro precisa ser declarado."
"Filter must be an object. Please set correct filter.","Filtro precisa ser um objeto. Marque o filtro corretamente."
"Filterable (no results)","Filtrar (mesmo sem resultados)"
"Filterable (with results)","Filtrar (apenas com resultados)"
"First Name",Nome
Fixed,Fixado
"For internal use.","For internal use."
"For the last time placed.","Para o último tempo colocado."
Frontend,Frontend
"Frontend Model","Modelo Frontend"
"Frontend Properties","Propriedades Frontend"
Gallery,Galeria
"General Information","Informações Gerais"
"Get full information about attribute with list of options","Obter informações completas sobre o atributo com lista de opções"
"Get full information about custom option in product","Obter informações completas sobre a opção personalizada no produto"
"Get list of available custom option types","Obter lista de tipos de opção personalizada disponível"
