"'%value%' appears to be a DNS hostname but cannot extract TLD part","'% Value%' parece ser um nome de host de DNS, mas não pode extrair TLD parte"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'% Value%' parece ser um nome de host DNS, mas não pode corresponder TLD contra a lista conhecida"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'% Value%' parece ser um nome de host DNS, mas não pode partida contra o esquema para o TLD hostname '%% tld """
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'% Value%' parece ser um nome de host de DNS, mas contém um traço em uma posição inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'% Value%' parece ser um nome de host de DNS, mas a notação punycode dado não pode ser decodificado"
"'%value%' appears to be a local network name but local network names are not allowed","'% Value%' parece ser um nome de rede local, mas os nomes de rede local não são permitidas"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'% Value%' parece ser um endereço IP, mas endereços IP não são permitidas"
"'%value%' does not appear to be a valid local network name","'% Value%' não parece ser um nome de rede válido local"
"* Required Fields","* Campos Obrigatórios"
"ALL GROUPS","TODOS OS GRUPOS"
"Account Dashboard",Geral
"Account Information","Dados de Acesso"
"Account Sharing Options","Opções de Compartilhamento"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Confirmação de conta é necessário. Por favor, verifique o link de confirmação do email. Para re-enviar o e-mail de confirmação <a href=""%s"">clique aqui</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Informações de Conta são obrigatórias. Verifique o link de confirmação do seu email. Para re-enviar a confirmação por email <a href=""%s"">clique aqui</a>."
Action,Ação
"Add New Address","Adicionar Endereço"
"Add New Customer","Criar Cliente"
"Add New Customer Group","Criar Grupo"
"Added From","Adicionado em"
"Additional Address Entries","Outros Endereços"
Address,Endereços
"Address Book","Meus Endereços"
"Address Books","Meus Endereços"
"Address Information","Informações de Endereço"
"Address Templates","Templates de Endereço"
Addresses,Endereços
Admin,Admin
All,Todos
"All Store Views","Todas as Visões"
"All countries","Todos os Países"
"Always optional.","Sempre opcional."
Amount,"Valor Pago"
"An error occurred while deleting the address.","Ocorreu um erro ao tentar excluir o endereço."
"An error occurred while retrieving the option value: %s.","Ocorreu um erro ao tentar recuperar o valor da opção: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ocorreu um erro ao tentar salvar a coleção, abortando. Erro: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválido foi informado para %s (%s), ignorando registro."
Approved,Aprovado
"Are you sure that you want to remove this item?","Deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Deseja cancelar este endereço?"
"Are you sure you want to delete this address?","Deseja excluir este endereço?"
"Are you sure?","Você tem certeza?"
"Array of Entity collections is expected.","Array da coleção de entidades é esperado."
"Assign a Customer Group","Associar ao Grupo..."
"Average Sale","Venda Média"
Back,Voltar
"Back - link to the previously viewed page","Voltar - link para a página anterior"
"Back to Login",Voltar
"Bad request.",Problemas.
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Com base no VAT ID, o cliente iria pertencer ao grupo de cliente %s."
"Bill to Name","Nome de Cobrança"
"Bought From",Comprados
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de fechar uma compra com mais agilidade, cadastrar diversos endereços de entrega, acompanhar seus pedidos, entre outras vantagens."
CSV,CSV
Cancel,Cancelar
"Cannot save a new password.","Não é possível salvar uma nova senha."
"Cannot save address.","Não foi possível salvar o endereço."
"Cannot save the customer.","Não foi possível o cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Não foi possível compartilhar o cliente em uma conta global. Porque algumas contas de cliente usam o mesmo email em outros websites e isso impede a união."
"Change Account Password","Alterar Senha da Conta"
"Change Billing Address","Alterar Endereço de Cobrança"
"Change Password","Alterar Senha"
"Change Shipping Address","Alterar Endereço de Entrega"
City,Cidade
Company,Empresa
Config,Config
Configure,Configure
"Confirm New Password","Confirmar Nova Senha"
"Confirm Password","Confirmar Senha"
"Confirmation Link Email","Email com Link de Confirmação"
Confirmed,Confirmado
"Contact Information","Informações de Contato"
"Continue Shopping","Continuar Comprando"
Country,País
Create,Criar
"Create New Account Options","Opções ao Criar Uma Nova Conta"
"Create New Customer Account","Criar Nova Conta de Cliente"
"Create Order","Criar Pedido"
"Create an Account","Criar Conta"
"Create customer","Criar cliente"
"Create customer address","Criar endereço cliente"
"Current Password","Senha Atual"
Customer,Cliente
"Customer API","Cliente API"
"Customer Account Edit Form","Form Editar Conta de Cliente"
"Customer Account Login Form","Form Login Conta de Cliente"
"Customer Account Logout Success","Conta de Cliente Saiu com Sucesso"
"Customer Account Registration Form","Form de Registro de Conta de Cliente"
"Customer Addresses","Endereços do Cliente"
"Customer Configuration",Configurações
"Customer Forgot Password Form","Formulário Cliente Esqueceu a Senha"
"Customer Group","Grupo do Cliente"
"Customer Groups","Grupo de Clientes"
"Customer Information","Informações do Cliente"
"Customer Login","Login de Cliente"
"Customer My Account (All Pages)","Cliente Minha Conta (Todas as Páginas)"
"Customer My Account Address Book","Cliente Minha Conta Livro de Endereços"
"Customer My Account Address Edit Form","Cliente Minha Conta Endereço Editar Form"
"Customer My Account Dashboard","Cliente Minha Conta Painel de Controle"
"Customer Since","Cliente Desde"
"Customer View",Detalhes
"Customer collection expected.","Coleção de cliente é esperado."
"Customer email is required","E-mail do cliente é necessário"
"Customer website ID must be specified when using the website scope","ID website do cliente deve ser especificado ao usar o alcance website"
"Customer will stay on the current page if ""No"" is selected.","Cliente ficará na mesma página se ""No"" for selecionado."
Customers,Clientes
"Customers Only","Apenas Clientes"
"Customers Section","Seção Clientes"
DD,DD
Date,Data
"Date Added","Data Adicionada"
"Date of Birth","Data de Nascimento"
Day,Dia
"Days in Wishlist","Dias na Lista"
"Default Addresses","Endereço Principal"
"Default Billing Address","Endereço de Cobrança Principal"
"Default Email Domain","Domínio do Email Padrão"
"Default Group","Grupo Padrão"
"Default Shipping Address","Endereço de Entrega Principal"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor padrão para Disable Automatic grupo alterações com base no VAT ID"
"Default Welcome Email","Email de Boas Vindas Padrão"
Delete,Excluir
"Delete Address",Excluir
"Delete Customer",Excluir
"Delete Customer Group",Excluir
"Delete customer",Excluir
"Delete customer address",Excluir
"Deleted Stores","Excluir Lojas"
Details,Detalhes
Disabled,Desabilitado
Edit,Editar
"Edit Account Info","Editar Informações da Conta"
"Edit Account Information","Editar Dados de Acesso"
"Edit Address","Editar Endereço"
"Edit Address Entry","Editar Entrada de Endereço"
"Edit Customer Group ""%s""","Editar Grupo ""%s"""
"Edit Customer Groups","Editar Grupo"
"Edit Customer's Address","Editar Endereços dos Clientes"
"Edit Group","Editar Grupo"
"Edit Newsletters","Editar Newsletters"
Email,Email
"Email Address","Endereço de Email"
"Email Sender","Remetente de Email"
Email:,Email:
"Enable Automatic Assignment to Customer Group","Habilitar atribuição automática para grupo de clientes"
"Entity collection is expected.","Coleção de entidades é esperado."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Falha ao confirmar conta da cliente."
Fax,Fax
"First Name",Nome
"Forgot Email Template","Informe o Modelo de Email"
"Forgot Password","Esqueceu a senha"
"Forgot Your Password","Esqueceu sua senha"
"Forgot Your Password?","Esqueceu sua Senha?"
"Forgot and Remind Email Sender","Esqueceu-se e lembrar o remetente de E-mail"
"Form Fields Before","Campos do Form Antes"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Aqui é possível ver um resumo das suas atividades e atualizar suas informações. Escolha um dos links abaixo para ver ou editar as informações."
Gender,Sexo
"Gender is required.","Entre os sexos é necessário."
"General Subscription","Assinatura Geral"
"Generate Human-Friendly Customer ID","Gerar ID do Cliente Amigável"
Global,"Todas as Lojas"
"Grand Total","Geral Total"
Group,Grupo
"Group Information","Informações de Grupo"
"Group Name",Nome
"Group for Invalid VAT ID","Grupo inválido para VAT ID"
"Group for Valid VAT ID - Domestic","Grupo inválido para VAT ID - domésticos"
"Group for Valid VAT ID - Intra-Union","Grupo inválido para VAT ID - Shengen"
Guest,Visitante
HTML,HTML
"Hello, %s!","Olá, %s!"
ID,ID
"IP Address",IP
"If there is an account associated with %s you will receive an email with a link to reset your password.","Se houver uma conta associada %s você receberá um e-mail com um link para redefinir sua senha."
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation","Se você é um cliente de VAT registado, por favor clique <a href=""%s""> aqui</a> para entrar você endereço para cálculo de VAT correcto de faturamento"
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation","Se você é um cliente de VAT registado, por favor clique <a href=""%s""> aqui</a> para você entrar endereço de entrega para cálculo de VAT correcto"
"If you believe this is an error, please contact us at %s","Se você acredita que isso é um erro, por favor contacte-nos em %s"
"If you have an account with us, please log in.","Se já possui uma conta, informe os dados de acesso."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválido especificado para o atributo %s (%s), pular registro."
"Invalid attribute set specified, skipping the record.","Atributo selecionado é inválido, ignorando registro."
"Invalid billing address for (%s)","Endereço de cobrança inválido para (%s)"
"Invalid current password","Senha atual é inválida"
"Invalid customer data","Informações de cliente é inválida"
"Invalid email address ""%s"".","Endereço de e-mail inválido ""%s""."
"Invalid email address.","Endereço de email é inválido."
"Invalid login or password.","Login ou senha inválido."
"Invalid password reset token.","Símbolo de redefinição de senha inválida."
"Invalid shipping address for (%s)","Endereço de remessa inválido para (%s)"
"Invalid store specified, skipping the record.","Loja informada é inválida, ignorando registro."
"Invalid website, skipping the record, line: %s","Site inválido, ignorando o registro, linha: %s"
"Last Activity","Última Atividade"
"Last Date Subscribed","Última data de assinatura"
"Last Date Unsubscribed","Última data de cancelamento de assinatura"
"Last Name",Sobrenome
"Last URL","Última Url"
"Leave empty for default (15 minutes).","Deixe em branco para usar o padrão (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Deixe em branco para usar o padrão (2). Faixa válida: 1-4"
"Lifetime Sales","Ciclo de Vendas"
"Log In",Entrar
"Log Out",Sair
Login,Entrar
"Login Information","Dados de Acesso"
"Login Options","Opções de Login"
"Login and password are required.","Login e senha são obrigatórios."
"Login or Create an Account","Cadastre-se ou Acesse sua conta"
MM,MM
"Manage Addresses","Gerenciar Endereços"
"Manage Customers","Gerenciar Clientes"
"Maximum length must be less then %s symbols","Comprimento máximo deve ser menor, em seguida, %s símbolos"
"Missing email, skipping the record, line: %s","E-mail, ignorando o registro, linha em falta: %s"
"Missing email, skipping the record.","Faltando email, ignorando registro."
"Missing first name, skipping the record, line: %s","Faltando nome, ignorando o registro, linha: %s"
"Missing firstname, skipping the record.","Faltando nome, ignorando registro."
"Missing last name, skipping the record, line: %s","Faltando nome do passado, ignorando o registro, linha: %s"
"Missing lastname, skipping the record.","Faltando sobrenome, ignorando registro."
"Missing website, skipping the record, line: %s","Site ausente, ignorando o registro, linha: %s"
Month,Mês
"My Account","Meus Pedidos"
"My Account Wrapper","Minha Conta Wrapper"
"My Dashboard",Geral
"My Orders","Meus Pedidos"
Name,Nome
"Name and Address Options","Opções de Nome e Endereço"
Never,Nunca
"New Address","Novo Endereço"
"New Address Entry","Nova Entrada de Endereço"
"New Customer","Criar Cliente"
"New Customer Address","Novo Endereço de Cliente"
"New Customer Group","Novo Grupo de Clientes"
"New Customer Groups","Novo Grupo de Clientes"
"New Customers",Cadastre-se
"New Group","Novo Grupo"
"New Password","Nova Senha"
"New account","Nova Conta"
"New account confirmation key","Nova chave de confirmação de conta"
"New account confirmed","Nova confirmação de conta"
"New password field cannot be empty.","Campo Nova Senha deve ser preenchido."
Newsletter,Newsletter
"Newsletter Finish","Newsletter Terminado"
"Newsletter Information","Informação de Newsletter"
"Newsletter Received","Newsletter Recebida"
"Newsletter Start","Newsletter Iniciado"
"Newsletter Subscription","Assinatura de Newsletter"
Newsletters,Newsletters
"No Items Found","Nenhum Item Encontrado"
"No Newsletter Found","Nenhuma Newsletter Encontrada"
"No customer collections found","Nenhuma coleção de cliente encontrado"
"No item specified.","Nenhum item selecionado."
"Not Sent","Não Enviado"
"Not confirmed, can login","Não confirmado, pode acessar a conta"
"Not confirmed, cannot login","Não conformado, não pode acessar a conta"
"Number of Lines in a Street Address ","Número de linhas para endereço "
Offline,Offline
Online,Online
"Online Customers","Clientes Online"
"Online Customers Options","Opções de Clientes Online"
"Online Minutes Interval","Verificar em Intervalos"
"Order #","Pedido #"
"Order Total","Total do Pedido"
Orders,Pedidos
PDF,PDF
Password,Senha
"Password Management","Gerenciar Senha"
"Password Options","Opções de Senha"
"Password forgotten","Senha esquecida"
Password:,Senha:
Paused,Parado
Pending,Pendente
"Per Website","Por Website"
"Personal Information","Dados Pessoais"
"Please enter a number 1 or greater in this field.","Por favor introduza um número de 1 ou maior neste campo."
"Please enter a valid date between %s and %s at %s.","Por favor introduza uma data válida entre %s e %s em %s."
"Please enter a valid date equal to or greater than %s at %s.","Por favor, introduza uma data válida maior ou igual a %s a %s."
"Please enter a valid date less than or equal to %s at %s.","Por favor introduza uma data válida menor ou igual a %s a %s."
"Please enter the city.","Por favor, digite a cidade."
"Please enter the country.","Por favor, entre no país."
"Please enter the first name.","Por favor, digite o primeiro nome."
"Please enter the last name.","Por favor, digite o nome do último."
"Please enter the state/province.","Por favor, digite o Estado."
"Please enter the street.","Por favor introduza a rua."
"Please enter the telephone number.","Por favor, insira o número de telefone."
"Please enter the zip/postal code.","Por favor, insira o CEP."
"Please enter your email address below. You will receive a link to reset your password.","Por favor, digite seu endereço de e-mail abaixo. Você receberá um link para redefinir sua senha."
