"""%s"" contains not only digit characters.","""%s"" não possui apenas caracteres numéricos."
"""%s"" does not fit the entered date format.","""%s"" não foi digitado em um formato de data valido."
"""%s"" exceeds the allowed file size.","""%s"" ultrapassa o tamanho de arquivo permitido."
"""%s"" exceeds the allowed length.","""%s"" ultrapassa o tamanho permitido."
"""%s"" has not only alphabetic and digit characters.","""%s"" não possui apenas caracteres alfanuméricos."
"""%s"" has not only alphabetic characters.","""%s"" não possui apenas caracteres alfabéticos."
"""%s"" height exceeds allowed value of %s px.","""%s"" ultrapassa altura permitida de %s px."
"""%s"" invalid type entered.","""%s"" digitação inválida."
"""%s"" is a required value.","""%s"" é um valor obrigatório."
"""%s"" is an empty string.","""%s"" é um valor vazio."
"""%s"" is not a valid URL.","""%s"" não é uma URL válida."
"""%s"" is not a valid date.","""%s"" não é uma data válida."
"""%s"" is not a valid email address.","""%s"" não é um endereço de email valido."
"""%s"" is not a valid file","""%s"" não é um arquivo valido"
"""%s"" is not a valid file extension.","""%s"" não é uma extensão de arquivo válida."
"""%s"" is not a valid file.","""%s"" não é um arquivo valido."
"""%s"" is not a valid hostname.","""%s"" não é um nome de servidor valido."
"""%s"" is not a valid image format","""%s"" não é um formato de imagem valido"
"""%s"" length must be equal or greater than %s characters.","""%s"" Comprimento deve ser igual ou superior a personagens %s."
"""%s"" length must be equal or less than %s characters.","""%s"" Comprimento deve ser igual ou inferior a personagens %s."
"""%s"" width exceeds allowed value of %s px.","""%s"" ultrapassa a largura permitida de  %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'% Value%' parece ser um nome de host de DNS, mas não pode extrair TLD parte"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'% Value%' parece ser um nome de host DNS, mas não pode corresponder TLD contra a lista conhecida"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'% Value%' parece ser um nome de host DNS, mas não pode partida contra o esquema para o TLD hostname '%% tld """
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'% Value%' parece ser um nome de host de DNS, mas contém um traço em uma posição inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'% Value%' parece ser um nome de host de DNS, mas a notação punycode dado não pode ser decodificado"
"'%value%' appears to be a local network name but local network names are not allowed","'% Value%' parece ser um nome de rede local, mas os nomes de rede local não são permitidas"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'% Value%' parece ser um endereço IP, mas endereços IP não são permitidas"
"'%value%' does not appear to be a valid URI hostname","'% Value%' não parece ser um hostname válido URI"
"'%value%' does not appear to be a valid local network name","'% Value%' não parece ser um nome de rede válido local"
"'%value%' does not match the expected structure for a DNS hostname","'% Value%' não corresponde à estrutura esperada de um nome de host DNS"
"A joint field with this alias (%s) is already declared","Um campo em conjunto com este alias (%s) já está declarada"
"Add Option","Adicionar Opção"
"An error occurred while loading a record, aborting. Error: %s","Ocorreu um erro enquanto carregava os dados, abortando. Erro: %s"
"An error occurred while loading the collection, aborting. Error: %s","Ocorreu um erro enquanto carregava a coleção, abortando. Erro: %s"
"An error occurred while saving a record, aborting. Error: ","Ocorreu um erro enquanto salvava o registro, abortando. Erro: "
"Attempt to add an invalid object","Tentativa de adicionar um objeto inválido"
"Attribute '%s' used in configurable products","Atributo '%s' usado em produtos configuráveis"
"Attribute Code","Código do Atributo"
"Attribute Label",Legenda
"Attribute Properties","Propriedades do Atributo"
"Attribute object is undefined","Atributo do objeto não é reconhecido"
"Attribute set with the ""%s"" name already exists.","Atributo setado com ""%s"" nome já existe."
"Attribute with the same code","Atributo com o mesmo código"
"Can\'t create table: %s","Pode \ 't create table: %s"
"Catalog Input Type for Store Owner","Formato do Campo"
"Current module EAV entity is undefined","Entidade EAV do módulo atual é indefinido"
"Current module pathname is undefined","Pathname módulo atual é indefinido"
"Data integrity: No header row found for attribute","A integridade dos dados: Não encontrei linha de cabeçalho para o atributo"
Date,Data
"Decimal Number","Numérico Decimal"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Produto padrão listado na ordem não está disponível na lista de ordem"
"Default Value","Valor Padrão"
"Default option value is not defined","Valor da opção padrão não foi definido"
Delete,Excluir
Dropdown,Dropdown
Email,Email
"Entity collection expected.","Entidade coleção esperada."
"Entity collections expected.","Entidade coleção esperada."
"Entity instance is not defined","Instancia da entidade não foi informado"
"Entity is not initialized","Entidade não é inicializado"
"Entity object is undefined","Objeto da entidade não reconhecido"
"Failed to load node %s from config","Falha ao carregar %s nó de configuração"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Para uso interno. Deve ser exclusivo sem espaços. Comprimento máximo de código de atributo deve ser inferior, em seguida, %s símbolos"
"Form Element with the same attribute","Form Element com o mesmo atributo"
"Form Fieldset with the same code","Form Fieldset com o mesmo código"
"Form Type with the same code","Form Type com o mesmo código"
"Form code is not defined","Código do Form não foi informado"
"Frontend label is not defined","Label frontend não está definida"
"Input Validation for Store Owner","Aplicar Validação de Campo"
"Integer Number","Numérico Inteiro"
"Invalid EAV attribute.","Inválido atributo EAV."
"Invalid alias, already exists in joint attributes","Apelido inválida, já existe em atributos comuns"
"Invalid attribute name: %s","Inválido nome do atributo: %s"
"Invalid attribute requested: %s","Inválido atributo requisitado: %s."
"Invalid attribute type","Tipo de atributo inválido"
"Invalid character encountered in increment ID: %s","Inválido carácter encontrado no incremento ID: %s"
"Invalid date","Data inválida"
"Invalid default date","Inválido de data padrão"
"Invalid default decimal value","Valor decimal inválido padrão"
"Invalid entity specified","Entidade especificada inválida"
"Invalid entity supplied.","Entidade fornecida inválida."
"Invalid entity supplied: %s","Inválido fornecido entidade: %s"
"Invalid entity type","Tipo de entidade inválido"
"Invalid entity_id, skipping the record.","Inválido entity_id, pulando registro."
"Invalid entity_type specified: %s","Inválido entity_type especificado: %s"
"Invalid foreign key","Inválido chave estrangeira"
"Invalid form type.","Tipo de formulário inválido."
"Invalid joint fields","Inválido campos conjunta"
"Invalid store specified","Loja especificada é inválida"
"Invalid type given. String expected","tipo de dado inválido. String esperado"
"Joined field with this alias is already declared","Campo associado com este alias já está declarada"
"Joint field or attribute expression with this alias is already declared","Campo de articulação ou expressão atributo com este alias já está declarada"
Letters,Letras
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)"
"Loaded %d records","Carregado %d registros"
"Maximum length of attribute code must be less then %s symbols","Comprimento máximo de código de atributo deve ser inferior a %s símbolos"
"Multiple Select","Múltiplas Seleções"
No,Não
"No options found in config node %s","Nenhuma opções encontrada na configuração de nódulo %s"
None,"Sem Validação"
"Not shared with other products","Não repetir o valor para outros produtos"
"Problem loading the collection, aborting. Error: %s","Problema carregar a coleção, abortar. Erro: %s"
"Problem saving the collection, aborting. Error: %s","Problema ao salvar coleção, abortar. Erro: %s"
Required,Obrigatório
"Saved %d record(s).","Salvo %d registro(s)."
"Source model ""%s"" not found for attribute ""%s""","Modelo de fonte ""%s"" não encontrado para o atributo ""%s"""
System,Sistema
"Text Area","Campo área de Texto"
"Text Field","Campo Texto"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","O código de atributo \ '%s \' é reservado pelo sistema. Por favor, tente outro código de atributo"
"The value of attribute ""%s"" must be unique","O valor do atributo ""%s"" deve ser exclusivo"
"The value of attribute ""%s"" must be unique.","O valor do atributo ""%s"" precisa ser único."
"This attribute is used in configurable products","Este atributo é usado em produtos configuráveis"
URL,URL
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor Único (não compartilhado com outros produtos)"
"Unknown parameter","Parâmetro desconhecido"
"Values Required","Campo Obrigatório"
"Wrong attribute group ID","ID grupo errado atributo"
"Wrong attribute set ID","ID errado conjunto de atributos"
"Wrong entity ID","ID entidade errada"
"Wrong type definition for %s","Definição do tipo errado para %s"
Yes,Sim
Yes/No,Sim/Não
