-OR-,-OU-
"2-pixel perimeter around the header space.","2 perímetro-pixel em torno do espaço do cabeçalho."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure validação de cartão"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Validação de Segurança eh obrigatório para cartões Maestro. Suporte a cartões American Express necessitam de termos adicionais. Saiba mais em <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Agora aceitando pagamentos via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Um valor é obrigatório para modo real. Consulte seu contrato CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Depósito (Segurar para Disputa ou Outras Investigações)"
"ACH Deposit (Reversal)","ACH Depósito (Estorno)"
"ACH Funding for Funds Recovery from Account Balance","ACH Financiamento para Recuperação de Fundos do Saldo da Conta"
"ACH Withdrawal","ACH Retirada"
"API Authentication Methods","API Métodos de Autenticação"
"API Certificate","API Certificados"
"API Password","API Senha"
"API Signature","API Assinatura"
"API Username","API Usuário"
"API Uses Proxy","API Usar Proxy"
"Ability for buyer to purchase without PayPal account.","Possibilidade do usuário comprar sem ter uma conta PayPal."
"Accept credit card and PayPal payments securely.","Aceita cartão de crédito e pagamentos PayPal com segurança."
"Accept credit cards, debit cards and PayPal payments securely.","Aceita cartões de crédito, débito cartões e pagamentos PayPal com segurança."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Aceite pagamentos em seu carrinho de compras. PayPal processa seus pagamentos de cartão através do Payflow Gateway."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Aceite pagamentos com uma saída compatível com PCI que mantém clientes em seu site."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Aceite pagamentos com uma saída compatível com PCI que mantém clientes em seu site."
"Accept payments with a completely customizable checkout page.","Aceite pagamentos com uma página de checkout completamente personalizável."
"Accept payments with a completely customizable checkout.","Aceite pagamentos com check-out totalmente personalizável."
"Acceptance Mark","Marca aceita"
"Acceptance Mark Image","Aceito marca de imagem"
"Account-to-Account Payment, initiated by PayPal","Pagamento Conta-a-Conta, inicializado pelo PayPal"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Adicione PayPal como um método de pagamento adicional à sua página de checkout para aumentar suas vendas."
"Add PayPal as an additional payment method to your checkout page.","Adicione PayPal como um método de pagamento adicional à sua página de checkout."
"Add another payment method to your existing solution or as a stand-alone option.","Adicione outro método de pagamento para sua solução existente ou como uma opção autônoma."
"Additional Options","Opções Adicionais"
Address,Endereço
"Address Verification System Response","Resposta do sistema de verificação de endereços"
"Advanced Settings","Opções Avançadas"
"All the address information matched","Todos os endereços informados batem"
"Allow in Billing Agreement Wizard","Permitir Ajuda nos Termos de Cobrança"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores permitidos: ""paypal"", ""primary"" (default), your_custom_value (um estilo de página de pagamento padrão para seu perfil de conta vendedor)."
"Allowed Credit Card Types","Tipos de cartão de crédito permitidos"
"Also affects mini-shopping cart.","Também afeta os mini carrinho de compras."
"Ask Customer","Pergunte ao Cliente"
"Attempted Authentication, Bad Result","Tentativa de autenticação, resultado ruim"
"Attempted Authentication, Good Result","Tentativa de autenticação, bom resultado"
"Auction Payment other than through eBay","Leilão de Pagamento que não seja pelo eBay"
"Authenticated, Bad Result","Autenticado, resultado ruim"
"Authenticated, Good Result","Autenticado, bom resultado"
Authorization,Autorização
"Authorization Honor Period (days)","Período autorização Honor (dias)"
"Authorization transaction is required to void.","Transação da autorização precisa ter retorno."
"Authorized amount of %s.","Montante autorizado de %s."
"Authorizing amount of %s is pending approval on gateway.","Quantidade de %s autorizando está pendente de aprovação no gateway."
Auto,Auto
AutoSweep,AutoSweep
"Available Balance","Saldo Disponível"
"Balance Manager Account Bonus","Gerenciar Saldo de Bônus da Conta"
"Basic Settings - PayPal Express Checkout","Configurações básicas - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","Configurações básicas - evolução Integral do PayPal"
"Basic Settings - PayPal Pasarela integral","Configurações básicas - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Configurações básicas - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Configurações básicas - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Configurações básicas - pagamentos PayPal avançado"
"Basic Settings - PayPal Payments Pro","Configurações básicas - pagamentos PayPal Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Configurações básicas - pagamentos PayPal Pro solução hospedada"
"Basic Settings - PayPal Payments Standard","Configurações básicas - norma de pagamentos PayPal"
"Basic Settings - PayPal Pro","Configurações básicas - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Configurações básicas - pagamentos PayPal site Plus"
"Basic Settings - PayPal Website Payments Pro","Configurações básicas - pagamentos PayPal Website Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Configurações básicas - pagamentos PayPal Website Pro solução hospedada"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Configurações básicas - pagamentos PayPal Website Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard","Configurações básicas - norma de pagamentos do site PayPal"
"Billing Address","Endereço de cobrança"
