" But cart has some errors."," Mas carrinho de compras possui alguns erros."
"""Description"" is more than %d characters long","""Descrição"" é mais do que personagens %d tempo"
"""Title"" is more than %d characters long","""Título"" é maior que %d caracteres"
"""id"" attribute is required for a ""%s"" field.","There was an error deserializing the object of type System.String. Encountered unexpected character 'a'."
"""line_count"" attribute is required for ""multiline"" element.","There was an error deserializing the object of type System.String. Encountered unexpected character 'a'."
"""message"" attribute is required for ""%s"" validator rule.","There was an error deserializing the object of type System.String. Encountered unexpected character 'a'."
"%1$s has been added to your wishlist.","%1$s foi adicionado a sua lista de favoritos."
"%1$s incl tax.","%1$s incl tax."
"%s API Key required.","%s API Key necessária."
"%s Application ID required.","%s Application ID necessário."
"%s Secret Key required.","%s Secret Key necessária."
"%s attribute is required.","%s atributo é necessário."
"%s has been added to your cart.","%s foi adicionado ao seu carrinho de compras."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclui mais países do que os listados abaixo. Como o proprietário do aplicativo, você é responsável pelo cumprimento das leis específicas de cada país relacionadas com a distribuição ou venda de seu aplicativo para o país, incluindo o seu país de origem.)"
"*Subject to change","* Sujeito a alterações"
"10:40 AM",10:40
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Entrar</a> para Airship Urabn."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Um aplicativo de Apenas Catálogo não suporta funções como adicionar ao carrinho, lista de favoritos, ou login."
"A new password has been sent.","Uma nova senha foi enviada."
Account,"Conta "
"Account confirmation is required. Please check your email for the confirmation link.","Confirmação de conta é necessária. Verifique seu e-mail para o link de confirmação."
"Account information has been saved.","Informações da conta foram salvas."
Action,Ação
Activate,Ativar
"Activate PayPal Checkout","Ativar PayPal Checkout"
"Activate PayPal MECL","Ativar PayPal MECL"
"Activation Key","Chave de Ativação"
"Add App","Adicionar Aplicativo"
"Add New Template","Adicionar Novo Template"
"Add Page","Adicionar Página"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar aos Favoritos"
"Additional Address","Endereço Adicional"
Address,"Endereço  "
"Address 2","Endereço 2"
"Address data not specified.","Dados do endereço não informados."
"Address does not belong to this customer.","Endereço não pertence a este cliente."
"Address has been deleted.","Endereço foi apagado."
"Address has been saved.","Endereço foi salvo."
"Administrative contact for this app and for app submission issues.","Contato administrativo para esta aplicação e para envio de perguntas do aplicativo."
"Advanced Settings","Opções Avançadas"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Após enviar o aplicativo para Magento, entre em contato <a href=""mailto:%1$s"">% 1 $ s</a> para receber a chave de Aplicação, Secret Aplicação e Master Secret Aplicação."
"AirMail Message Queue","AirMail Fila de Mensagem"
"AirMail Messages Queue","AirMail Fila de Mensagens"
"AirMail Template Preview","AirMail Pré-Visualizar Template"
"AirMail message","AirMail mensagem"
"AirMail templates","AirMail templates"
"All Allowed Countries","Todos os Países admitidos"
"All locations","Todos os locais"
"An account with this email address already exists.","Uma conta com este endereço de e-mail já existe."
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar item aos favoritos."
"An error occurred while deleting the address.","Ocorreu um erro ao apagar o endereço."
"An error occurred while loading categories.","Ocorreu um erro durante o carregamento de categorias."
"An error occurred while loading category filters.","Ocorreu um erro ao carregar os filtros da categoria."
"An error occurred while loading wishlist.","Ocorreu um erro ao carregar a lista de desejos."
"An error occurred while processing your order. Please contact us or try again later.","Ocorreu um erro ao processar seu pedido. Entre em contato ou tente novamente."
"An error occurred while processing your request.","Ocorreu um erro ao processar sua solicitação."
"An error occurred while removing item from wishlist.","Ocorreu um erro ao removar item dos favoritos."
"An error occurred while removing items from wishlist.","Ocorreu um erro ao remover itens dos favoritos."
Analytics,Analytics
Android,Android
"Android doesn\'t support AirMail message type.","Android doesn\ ' t suporte tipo de mensagem de correio aéreo."
"App Background","App Background"
"App Background (landscape mode).","App fundo (modo paisagem)."
"App Background (portrait mode).","App fundo (modo retrato)."
"App Background <br />(landscape mode)","App fundo <br /> (Modo paisagem)"
"App Background <br />(portrait mode)","App fundo <br /> (Modo retrato)"
"App Background image missing.","App da imagem de fundo perdido."
"App Code","App Código"
"App Information","App Informação"
"App Name","App Nome"
"App Stores","App Stores"
"App Submission History","App Histórico de Envios"
"App Title","App Título"
"App code required.","App código obrigatório."
"App does not exist.","App não existe."
"App has been deleted.","App foi apagado."
"App has been saved.","App foi salvo."
"App has been submitted.","App foi enviado."
"App model not loaded.","App modelo não carregado."
"App with specified code does not exist.","App com código informado não existe."
"Appears in the info section of your app (example: Copyright 2010 â Your Company, Inc.)","Aparece na seção de informação de sua app (exemplo: Copyright 2010-sua empresa, Inc.)"
Application,Aplicativo
"Application Key","Chave do Aplicativo"
"Application Master Secret","Aplicativo Ultra Secreto"
"Application Name","Nome do Aplicativo"
"Application Secret","Aplicativo Secreto"
"Are you sure you want to delete this theme? This change will affect all applications.","Tem certeza de que deseja excluir este tema? Essa mudança vai afetar todas as aplicações."
"Are you sure you want to do this?","Tem certeza de que deseja fazer isto?"
"Are you sure you whant to cancel a message?","Tem certeza de que deseja cancelar a mensagem?"
"Are you sure you whant to delete a message?","Tem certeza de que deseja apagar a mensagem?"
"Are you sure you what to cancel selected records?","Tem certeza de que deseja cancelar os registros selecionados?"
"Are you sure you what to delete selected records?","Tem certeza de que deseja apagar os registros selecionados?"
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.","Como um cliente Magento, Airship Urbano está oferecendo a você Push Notifications ilimitada e Push Rico por US $ 100/ano * junto com um teste de 60 dias grátis."
"At last one application has to be created.","Finalmente, um aplicativo deve ser criado."
"Authentication complete.","Autenticação completa."
Back,Voltar
"Back to App Edit","Voltar para Editar App"
"Background Color","Cor de Fundo"
Balance,Equilíbrio
"Balance Change","Mudança de equilíbrio"
"Balance History","História de equilíbrio"
"Banner on Home Screen","Banner na Página Inicial"
"Banner on Home Screen (landscape mode) image missing.","Banner na tela inicial (modo paisagem) Imagem em falta."
"Banner on Home Screen (portrait mode) image missing.","Banner na tela inicial (modo retrato) Imagem em falta."
"Banner on Home Screen <br />(landscape mode)","Banner na tela inicial <br /> (Modo paisagem)"
"Banner on Home Screen <br />(portrait mode)","Banner na tela inicial <br /> (Modo retrato)"
"Banner on Home Screen image missing.","Banner na Home Screen imagem ausente."
"Billing Address","Endereço de Cobrança"
"Billing address has been set.","Endereço do cobrança foi enviado."
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. tax) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Buy %1$s with %2$s discount each","Compre %1$s com %2$s desconto cada"
"Buyer country is not allowed by store.","país do comprador não é permitido pela loja."
"Cache Lifetime (seconds)","Cache Lifetime (segundos)"
"Cache Management","Gerenciamento de cache"
"Can\'t add item to shopping cart.","Não foi possível adicionar item ao carrinho de compras."
"Can\'t apply the coupon code.","Não foi possível aplicar o código do cupom."
"Can\'t copy file ""%s"" to ""%s"".","Can \ 't de cópia de arquivo ""%s"" para ""%s""."
"Can\'t create wishlist.","Não foi possível criar lista de favoritos."
"Can\'t delete ""%s"" theme.","Pode \ 't delete ""%s"" é o tema."
"Can\'t load XML.","Não foi possível carregar XML."
"Can\'t load application with id ""%s""","Can\ ' t carregar o aplicativo com o id ""%s"""
"Can\'t load cart info.","Can\ ' t carregar informações do carrinho."
"Can\'t load cart.","Can\ ' t carregar carrinho."
